"zcta5","county","cousubfp","cbsa","metdiv","cntyname","cousubnm","cbsaname","mdivname","zipname","pop10","afact"
"ZIP Census Tabulation Area","county","cousubfp","cbsa","metdiv","cntyname","County Subdivision Name","CBSA Name","Metro Div Name","zipname","Total Pop, 2010 census","zcta5 to metdiv alloc factor"
"63547","29001","80134","28860"," ","Adair MO","Wilson township","Kirksville, MO"," ","Hurdland, MO",13,0.028 
"63547","29103","29386"," "," ","Knox MO","Greensburg township"," "," ","Hurdland, MO",40,0.087 
"63547","29103","44732"," "," ","Knox MO","Lyon township"," "," ","Hurdland, MO",295,0.643 
"63547","29103","67286"," "," ","Knox MO","Shelton township"," "," ","Hurdland, MO",111,0.242 
"63548","29197","13294","28860"," ","Schuyler MO","Chariton township","Kirksville, MO"," ","Lancaster, MO",10,0.008 
"63548","29197","23194","28860"," ","Schuyler MO","Fabius township","Kirksville, MO"," ","Lancaster, MO",186,0.145 
"63548","29197","27532","28860"," ","Schuyler MO","Glenwood township","Kirksville, MO"," ","Lancaster, MO",18,0.014 
"63548","29197","35054","28860"," ","Schuyler MO","Independence township","Kirksville, MO"," ","Lancaster, MO",27,0.021 
"63548","29197","42338","28860"," ","Schuyler MO","Liberty township","Kirksville, MO"," ","Lancaster, MO",1012,0.786 
"63548","29197","59672","28860"," ","Schuyler MO","Prairie township","Kirksville, MO"," ","Lancaster, MO",34,0.026 
"63549","29001","57224","28860"," ","Adair MO","Pettis township","Kirksville, MO"," ","La Plata, MO",168,0.061 
"63549","29001","80134","28860"," ","Adair MO","Wilson township","Kirksville, MO"," ","La Plata, MO",234,0.085 
"63549","29121","20710"," "," ","Macon MO","Easley township"," "," ","La Plata, MO",112,0.041 
"63549","29121","35018"," "," ","Macon MO","Independence township"," "," ","La Plata, MO",13,0.005 
"63549","29121","35900"," "," ","Macon MO","Jackson township"," "," ","La Plata, MO",1,0 
"63549","29121","37520"," "," ","Macon MO","Johnston township"," "," ","La Plata, MO",40,0.015 
"63549","29121","40700"," "," ","Macon MO","La Plata township"," "," ","La Plata, MO",1596,0.582 
"63549","29121","44642"," "," ","Macon MO","Lyda township"," "," ","La Plata, MO",5,0.002 
"63549","29121","61508"," "," ","Macon MO","Richland township"," "," ","La Plata, MO",573,0.209 
"63551","29171","21952"," "," ","Putnam MO","Elm township"," "," ","Livonia, MO",94,0.278 
"63551","29171","28522"," "," ","Putnam MO","Grant township"," "," ","Livonia, MO",196,0.58 
"63551","29171","42284"," "," ","Putnam MO","Liberty township"," "," ","Livonia, MO",48,0.142 
"63552","29121","05284"," "," ","Macon MO","Bevier township"," "," ","Macon, MO",86,0.011 
"63552","29121","13240"," "," ","Macon MO","Chariton township"," "," ","Macon, MO",18,0.002 
"63552","29121","20638"," "," ","Macon MO","Eagle township"," "," ","Macon, MO",449,0.057 
"63552","29121","33580"," "," ","Macon MO","Hudson township"," "," ","Macon, MO",6722,0.848 
"63552","29121","42194"," "," ","Macon MO","Liberty township"," "," ","Macon, MO",53,0.007 
"63552","29121","47810"," "," ","Macon MO","Middle Fork township"," "," ","Macon, MO",64,0.008 
"63552","29121","51176"," "," ","Macon MO","Narrows township"," "," ","Macon, MO",140,0.018 
"63552","29121","63326"," "," ","Macon MO","Round Grove township"," "," ","Macon, MO",214,0.027 
"63552","29121","72718"," "," ","Macon MO","Ten Mile township"," "," ","Macon, MO",180,0.023 
"63555","29199","36980"," "," ","Scotland MO","Jefferson township"," "," ","Memphis, MO",2480,0.775 
"63555","29199","48314"," "," ","Scotland MO","Miller township"," "," ","Memphis, MO",78,0.024 
"63555","29199","50618"," "," ","Scotland MO","Mount Pleasant township"," "," ","Memphis, MO",16,0.005 
"63555","29199","73060"," "," ","Scotland MO","Thomson township"," "," ","Memphis, MO",38,0.012 
"63555","29199","73492"," "," ","Scotland MO","Tobin township"," "," ","Memphis, MO",69,0.022 
"63555","29199","74986"," "," ","Scotland MO","Union township"," "," ","Memphis, MO",416,0.13 
"63555","29199","75958"," "," ","Scotland MO","Vest township"," "," ","Memphis, MO",104,0.032 
"63556","29211","07678"," "," ","Sullivan MO","Bowman township"," "," ","Milan, MO",111,0.029 
"63556","29211","14536"," "," ","Sullivan MO","Clay township"," "," ","Milan, MO",5,0.001 
"63556","29211","20386"," "," ","Sullivan MO","Duncan township"," "," ","Milan, MO",226,0.06 
"63556","29211","36152"," "," ","Sullivan MO","Jackson township"," "," ","Milan, MO",175,0.046 
"63556","29211","42374"," "," ","Sullivan MO","Liberty township"," "," ","Milan, MO",136,0.036 
"63556","29211","50024"," "," ","Sullivan MO","Morris township"," "," ","Milan, MO",62,0.016 
"63556","29211","58430"," "," ","Sullivan MO","Pleasant Hill township"," "," ","Milan, MO",114,0.03 
"63556","29211","58880"," "," ","Sullivan MO","Polk township"," "," ","Milan, MO",2910,0.77 
"63556","29211","75022"," "," ","Sullivan MO","Union township"," "," ","Milan, MO",40,0.011 
"63557","29001","76786","28860"," ","Adair MO","Walnut township","Kirksville, MO"," ","New Boston, MO",2,0.007 
"63557","29115","03016"," "," ","Linn MO","Baker township"," "," ","New Boston, MO",146,0.502 
"63557","29115","53300"," "," ","Linn MO","North Salem township"," "," ","New Boston, MO",83,0.285 
"63557","29121","20062"," "," ","Macon MO","Drake township"," "," ","New Boston, MO",56,0.192 
"63557","29121","79270"," "," ","Macon MO","White township"," "," ","New Boston, MO",4,0.014 
"63558","29041","03952"," "," ","Chariton MO","Bee Branch township"," "," ","New Cambria, MO",181,0.244 
"63558","29121","10504"," "," ","Macon MO","Callao township"," "," ","New Cambria, MO",13,0.018 
"63558","29121","43112"," "," ","Macon MO","Lingo township"," "," ","New Cambria, MO",406,0.547 
"63558","29121","63686"," "," ","Macon MO","Russell township"," "," ","New Cambria, MO",110,0.148 
"63558","29121","75436"," "," ","Macon MO","Valley township"," "," ","New Cambria, MO",32,0.043 
"63559","29001","41924","28860"," ","Adair MO","Liberty township","Kirksville, MO"," ","Novinger, MO",279,0.196 
"63559","29001","50096","28860"," ","Adair MO","Morrow township","Kirksville, MO"," ","Novinger, MO",148,0.104 
"63559","29001","52526","28860"," ","Adair MO","Nineveh township","Kirksville, MO"," ","Novinger, MO",834,0.587 
"63559","29001","76786","28860"," ","Adair MO","Walnut township","Kirksville, MO"," ","Novinger, MO",115,0.081 
"63559","29171","21952"," "," ","Putnam MO","Elm township"," "," ","Novinger, MO",44,0.031 
"63560","29171","36026"," "," ","Putnam MO","Jackson township"," "," ","Pollock, MO",10,0.042 
"63560","29211","36152"," "," ","Sullivan MO","Jackson township"," "," ","Pollock, MO",229,0.958 
"63561","29197","35054","28860"," ","Schuyler MO","Independence township","Kirksville, MO"," ","Queen City, MO",99,0.082 
"63561","29197","59672","28860"," ","Schuyler MO","Prairie township","Kirksville, MO"," ","Queen City, MO",1057,0.876 
"63561","29197","65648","28860"," ","Schuyler MO","Salt River township","Kirksville, MO"," ","Queen City, MO",50,0.041 
"63563","29103","04708"," "," ","Knox MO","Benton township"," "," ","Rutledge, MO",74,0.129 
"63563","29103","15652"," "," ","Knox MO","Colony township"," "," ","Rutledge, MO",103,0.179 
"63563","29199","30574"," "," ","Scotland MO","Harrison township"," "," ","Rutledge, MO",2,0.003 
"63563","29199","65828"," "," ","Scotland MO","Sand Hill township"," "," ","Rutledge, MO",376,0.654 
"63563","29199","73492"," "," ","Scotland MO","Tobin township"," "," ","Rutledge, MO",20,0.035 
"63565","29171","21952"," "," ","Putnam MO","Elm township"," "," ","Unionville, MO",215,0.057 
"63565","29171","36026"," "," ","Putnam MO","Jackson township"," "," ","Unionville, MO",86,0.023 
"63565","29171","42284"," "," ","Putnam MO","Liberty township"," "," ","Unionville, MO",170,0.045 
"63565","29171","42842"," "," ","Putnam MO","Lincoln township"," "," ","Unionville, MO",313,0.082 
"63565","29171","61580"," "," ","Putnam MO","Richland township"," "," ","Unionville, MO",259,0.068 
"63565","29171","67466"," "," ","Putnam MO","Sherman township"," "," ","Unionville, MO",48,0.013 
"63565","29171","74896"," "," ","Putnam MO","Union township"," "," ","Unionville, MO",2116,0.556 
"63565","29171","80242"," "," ","Putnam MO","Wilson township"," "," ","Unionville, MO",598,0.157 
"63566","29115","53300"," "," ","Linn MO","North Salem township"," "," ","Winigan, MO",26,0.208 
"63566","29211","50024"," "," ","Sullivan MO","Morris township"," "," ","Winigan, MO",99,0.792 
"63567","29171","21952"," "," ","Putnam MO","Elm township"," "," ","Worthington, MO",192,1 
"63601","29187","56864","22100"," ","St. Francois MO","Pendleton township","Farmington, MO"," ","Park Hills, MO",372,0.022 
"63601","29187","57098","22100"," ","St. Francois MO","Perry township","Farmington, MO"," ","Park Hills, MO",39,0.002 
"63601","29187","60608","22100"," ","St. Francois MO","Randolph township","Farmington, MO"," ","Park Hills, MO",7673,0.461 
"63601","29187","64316","22100"," ","St. Francois MO","St. Francois township","Farmington, MO"," ","Park Hills, MO",8572,0.515 
"63620","29093","01666"," "," ","Iron MO","Arcadia township"," "," ","Annapolis, MO",128,0.079 
"63620","29093","42158"," "," ","Iron MO","Liberty township"," "," ","Annapolis, MO",196,0.121 
"63620","29093","74698"," "," ","Iron MO","Union township"," "," ","Annapolis, MO",1036,0.64 
"63620","29123","42212"," "," ","Madison MO","Liberty township"," "," ","Annapolis, MO",100,0.062 
"63620","29123","74248"," "," ","Madison MO","Twelvemile township"," "," ","Annapolis, MO",37,0.023 
"63620","29179","41726"," "," ","Reynolds MO","Lesterville township"," "," ","Annapolis, MO",44,0.027 
"63620","29179","78100"," "," ","Reynolds MO","Webb township"," "," ","Annapolis, MO",78,0.048 
"63621","29093","01666"," "," ","Iron MO","Arcadia township"," "," ","Arcadia, MO",924,0.752 
"63621","29093","42158"," "," ","Iron MO","Liberty township"," "," ","Arcadia, MO",268,0.218 
"63621","29123","42212"," "," ","Madison MO","Liberty township"," "," ","Arcadia, MO",36,0.029 
"63622","29221","04078"," "," ","Washington MO","Belgrade township"," "," ","Belgrade, MO",955,0.945 
"63622","29221","04294"," "," ","Washington MO","Bellevue township"," "," ","Belgrade, MO",10,0.01 
"63622","29221","30394"," "," ","Washington MO","Harmony township"," "," ","Belgrade, MO",46,0.045 
"63623","29093","19108"," "," ","Iron MO","Dent township"," "," ","Belleview, MO",74,0.084 
"63623","29093","35360"," "," ","Iron MO","Iron township"," "," ","Belleview, MO",458,0.519 
"63623","29093","38018"," "," ","Iron MO","Kaolin township"," "," ","Belleview, MO",350,0.397 
"63624","29093","35360"," "," ","Iron MO","Iron township"," "," ","Bismarck, MO",122,0.032 
"63624","29187","35378","22100"," ","St. Francois MO","Iron township","Farmington, MO"," ","Bismarck, MO",2818,0.75 
"63624","29187","60608","22100"," ","St. Francois MO","Randolph township","Farmington, MO"," ","Bismarck, MO",275,0.073 
"63624","29221","04294"," "," ","Washington MO","Bellevue township"," "," ","Bismarck, MO",335,0.089 
"63624","29221","16066"," "," ","Washington MO","Concord township"," "," ","Bismarck, MO",207,0.055 
"63625","29093","19108"," "," ","Iron MO","Dent township"," "," ","Black, MO",19,0.042 
"63625","29093","38018"," "," ","Iron MO","Kaolin township"," "," ","Black, MO",24,0.053 
"63625","29179","06094"," "," ","Reynolds MO","Black River township"," "," ","Black, MO",414,0.906 
"63626","29187","05590","22100"," ","St. Francois MO","Big River township","Farmington, MO"," ","Blackwell, MO",105,0.101 
"63626","29221","38882"," "," ","Washington MO","Kingston township"," "," ","Blackwell, MO",923,0.89 
"63626","29221","75040"," "," ","Washington MO","Union township"," "," ","Blackwell, MO",9,0.009 
"63627","29099","58232","41180"," ","Jefferson MO","Plattin township","St. Louis, MO-IL"," ","Bloomsdale, MO",157,0.053 
"63627","29186","36098"," "," ","Ste. Genevieve MO","Jackson township"," "," ","Bloomsdale, MO",2780,0.947 
"63628","29099","75400","41180"," ","Jefferson MO","Valle township","St. Louis, MO-IL"," ","Bonne Terre, MO",33,0.002 
"63628","29186","74968"," "," ","Ste. Genevieve MO","Union township"," "," ","Bonne Terre, MO",157,0.01 
"63628","29187","05590","22100"," ","St. Francois MO","Big River township","Farmington, MO"," ","Bonne Terre, MO",1625,0.101 
"63628","29187","46154","22100"," ","St. Francois MO","Marion township","Farmington, MO"," ","Bonne Terre, MO",1002,0.063 
"63628","29187","57098","22100"," ","St. Francois MO","Perry township","Farmington, MO"," ","Bonne Terre, MO",12115,0.757 
"63628","29187","60608","22100"," ","St. Francois MO","Randolph township","Farmington, MO"," ","Bonne Terre, MO",880,0.055 
"63628","29221","08254"," "," ","Washington MO","Breton township"," "," ","Bonne Terre, MO",201,0.013 
"63628","29221","75040"," "," ","Washington MO","Union township"," "," ","Bonne Terre, MO",1,0 
"63629","29065","68050"," "," ","Dent MO","Sinkin township"," "," ","Bunker, MO",274,0.209 
"63629","29179","11530"," "," ","Reynolds MO","Carroll township"," "," ","Bunker, MO",795,0.605 
"63629","29179","36062"," "," ","Reynolds MO","Jackson township"," "," ","Bunker, MO",74,0.056 
"63629","29203","49772"," "," ","Shannon MO","Moore township"," "," ","Bunker, MO",149,0.113 
"63629","29203","52274"," "," ","Shannon MO","Newton township"," "," ","Bunker, MO",22,0.017 
"63630","29187","05590","22100"," ","St. Francois MO","Big River township","Farmington, MO"," ","Cadet, MO",23,0.006 
"63630","29221","08254"," "," ","Washington MO","Breton township"," "," ","Cadet, MO",344,0.085 
"63630","29221","38882"," "," ","Washington MO","Kingston township"," "," ","Cadet, MO",476,0.117 
"63630","29221","42392"," "," ","Washington MO","Liberty township"," "," ","Cadet, MO",254,0.063 
"63630","29221","75040"," "," ","Washington MO","Union township"," "," ","Cadet, MO",2965,0.73 
"63631","29093","35360"," "," ","Iron MO","Iron township"," "," ","Caledonia, MO",152,0.179 
"63631","29093","38018"," "," ","Iron MO","Kaolin township"," "," ","Caledonia, MO",17,0.02 
"63631","29221","04078"," "," ","Washington MO","Belgrade township"," "," ","Caledonia, MO",82,0.097 
"63631","29221","04294"," "," ","Washington MO","Bellevue township"," "," ","Caledonia, MO",598,0.704 
"63633","29179","11530"," "," ","Reynolds MO","Carroll township"," "," ","Centerville, MO",458,0.71 
"63633","29179","36062"," "," ","Reynolds MO","Jackson township"," "," ","Centerville, MO",118,0.183 
"63633","29179","43598"," "," ","Reynolds MO","Logan township"," "," ","Centerville, MO",69,0.107 
"63636","29093","74698"," "," ","Iron MO","Union township"," "," ","Des Arc, MO",533,0.877 
"63636","29123","42212"," "," ","Madison MO","Liberty township"," "," ","Des Arc, MO",40,0.066 
"63636","29223","12304"," "," ","Wayne MO","Cedar Creek township"," "," ","Des Arc, MO",29,0.048 
