psraid,sample,lang,fips,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,smart1,pial2,pial3a,pial3b,pial3c,pial4a,pial4b,pial4c,pial4d,pial5,pial6m1,pial6m2,pial6m3,pial6m4,SmartPhone,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,raceos,weight,standwt
202143,2,1,47043,47,3,S, ,1,1,1,2,0, , , , , , , , , , , , ,2, , ,2,2,3,1,2,44,8,2,1,4,2,2,9,9, ,4.71428571428571,1.35123352770344
202145,2,1,48467,48,3,R, ,1,2,2,1,10,1,2,2, , , , ,2, , , , ,1, , ,1,2,3,2,2,71,3,2,1,5,2,1,1, , ,2.32142857142857,.665380146217606
202157,2,1,27027,27,2,S, ,1,2,2,1,6,1,2,2, , , , ,2, , , , ,1, , ,1,3,1,1,1,49,3,2,1,9,4,1,1, , ,2.96428571428571,.849639263631712
202159,2,1,55101,55,2,S, ,1,1,8,1,0, , , , , , , , , , , , ,1, , ,2,4,1,2,1,39,2,2,1,5,2,1,3,9, ,7.39285714285714,2.11897985026222
202162,2,1,13067,13,3,S, ,1,1,1,1,20,1,2,1,2,2,5,4,2, , , , ,1, , ,1,2,1,1,1,37,6,2,3,9,4,1,3,1, ,4.46428571428571,1.27957720426463
202189,2,1,12011,12,3,S, ,1,2,2,1,0, , , , , , , , , , , , ,1, , ,2,2,3,1,2,32,5,2,2,4,2,1,2, , ,7.96428571428571,2.28276573240809
202199,2,1,32003,32,4,S, ,2,2,2,2,2,1,2,2, , , , ,2, , , , ,2, , ,2,1,3,2,2,23,3,2,2,1,1,3,3,9, ,6.35714285714286,1.82211793887283
202202,2,2,41047,41,4,U, ,2,2,2,8,4,2,1,2, , , , ,1,4, , , ,2, , ,2,2,3,2,2,59,1,1,1,2,1,3,2, , ,5.57142857142857,1.59691235092225
202205,2,1,6075,6,4,U, ,1,2,1,1,2,1,2,1,3, ,5,5,2, , , , ,1, , ,1,3,1,2,1,58,4,2,1,9,4,3,4,9, ,4.60714285714286,1.32052367480109
202207,2,1,53007,53,4,U, ,1,2,2,2,0, , , , , , , , , , , , ,2, , ,1,4,1,2,1,56,3,2,1,5,2,1,1, , ,2.85714285714286,.818929410729361
202208,2,1,6067,6,4,S, ,1,2,1,1,5,1,2,2, , , , ,2, , , , ,1, , ,2,2,1,1,1,38,6,2,1,9,4,1,3,1, ,7.17857142857143,2.05756014445752
202212,2,1,6029,6,4,S, ,1,2,1,1,10,2,2,1,3, ,5,5,2, , , , ,1, , ,1,2,1,1,1,36,3,1,6,5,2,1,3,2,HISPANIC,2.96428571428571,.849639263631712
202213,2,1,9003,9,1,U, ,1,1,2,1,9,1,2,2, , , , ,1,1, , , ,1, , ,1,2,1,2,1,72,8,2,1,9,4,1,2, , ,1.64285714285714,.470884411169382
202221,2,2,51510,51,3,S, ,2,2,2,2,1,2,2,2, , , , ,2, , , , ,2, , ,1,3,3,2,2,19,2,1,1,99,9,3,9,9, ,4.03571428571429,1.15673779265522
202230,2,1,19065,19,2,R, ,1,2,2,1,25,1,2,1, , ,5,5,2, , , , ,1, , ,2,2,1,2,2,58,5,2,1,99,2,1,3,2, ,2.85714285714286,.818929410729361
202232,2,2,53033,53,4,S, ,2,2,2,8,0, , , , , , , , , , , , ,2, , ,2,4,1,2,1,45,1,1,6,3,1,3,4,9,HISPANIC,4.78571428571429,1.37170676297168
202246,2,1,47093,47,3,S, ,1,2,2,2,7,1,2,2, , , , ,1,1, , , ,2, , ,2,1,1,2,1,64,6,2,1,7,4,1,1, , ,2.82142857142857,.808692793095244
202254,2,1,27163,27,2,S, ,1,2,2,2,7,1,2,2, , , , ,2, , , , ,2, , ,1,2,3,2,1,73,6,2,1,4,2,1,3,9, ,1.28571428571429,.368518234828212
202256,2,1,36119,36,1,S, ,1,2,1,1,6,1,2,1,1, ,3,3,1,1, , , ,1, , ,1,5,1,2,2,25,5,2,1,3,1,1,2, , ,7.96428571428571,2.28276573240809
202260,2,1,12127,12,3,U, ,2,2,2,1,0, , , , , , , , , , , , ,1, , ,2,1,3,2,1,59,3,2,4,2,1,3,3,1, ,5.32142857142857,1.52525602748343
202262,2,1,17097,17,2,S, ,2,2,2,2,20,1,2,2, , , , ,1,1, , , ,2, , ,2,1,3,2,1,55,2,2,1,2,1,3,2, , ,4.39285714285714,1.25910396899639
202264,2,2,34029,34,1,S, ,2,2,1,2,0, , , , , , , , , , , , ,2, , ,2,2,3,1,2,25,3,1,1,2,1,3,3,9, ,7.96428571428571,2.28276573240809
202266,2,1,51059,51,3,S, ,1,2,1,1,10,1,2,1,4, ,5,5,2, , , , ,1, , ,1,2,3,2,2,59,3,2,1,7,4,1,3,1, ,4.89285714285714,1.40241661587403
202269,2,1,40145,40,3,S, ,1,1,1,1,0, , , , , , , , , , , , ,1, , ,1,3,1,1,1,46,6,2,5,7,4,1,1, , ,4,1.1465011750211
202271,2,1,13117,13,3,S, ,1,1,1,1,12,1,2,1,2,4,5,5,2, , , , ,1, , ,1,2,3,2,2,62,3,2,1,6,3,1,3,1, ,4.21428571428571,1.20792088082581
202284,2,1,36047,36,1,U, ,1,2,1,1,6,1,2,2, , , , ,1,1, , , ,1, , ,1,2,1,2,2,42,6,2,2,6,3,1,2, , ,4.67857142857143,1.34099691006933
202289,2,1,36047,36,1,U, ,2,1,1,8,3,1,2,2, , , , ,1,1, , , ,2, , ,2,1,2,2,2,53,1,2,2,99,9,9,9,9, ,7.96428571428571,2.28276573240809
202299,2,1,33011,33,1,S, ,1,2,2,1,30,1,2,2, , , , ,1,1, , , ,1, , ,1,2,1,1,1,35,6,2,4,7,4,1,9,9, ,4.82142857142857,1.3819433806058
202301,2,1,45019,45,3,U, ,1,2,2,1,98, , , , , , , , , , , , ,1, , ,2,2,1,2,1,67,6,1,1,3,1,3,2, , ,1.89285714285714,.542540734608201
